UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mobile Monopoly-,@mobilemonopolyp,2011-01-01T20:38:37.000Z,"Mobile Monopoly-
@mobilemonopolyp
·
Jan 1, 2011","Apple iPhone Alarm Bug Silences the New Year: On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line of cellphones p... http://bit.ly/f95SX1",,,,,[],https://twitter.com/mobilemonopolyp/status/21304307521425408
Meghana,@meghanavj,2011-01-01T19:57:12.000Z,"Meghana
@meghanavj
·
Jan 1, 2011",Apple Inc. Wins 3D Display Technology Patent – NASDAQ:AAPL | Savvy ...: News Update: General Motors Company Gets... http://bit.ly/dWCKtW,,,,,[],https://twitter.com/meghanavj/status/21293885963632640
iPhone Apps Secrets,@Jeff_Bezos,2011-01-01T20:08:24.000Z,"iPhone Apps Secrets
@Jeff_Bezos
·
Jan 1, 2011","Apple iPhone Alarm Bug Silences the New Year: On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line of cellphones p... http://bit.ly/gcgrmH",,,,,[],https://twitter.com/Jeff_Bezos/status/21296703961300992
EarnForSpending,@EarnForSpending,2011-01-01T20:33:34.000Z,"EarnForSpending
@EarnForSpending
·
Jan 1, 2011","iPhone info... Apple iPhone Alarm Bug Silences the New Year: On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line ... http://bit.ly/fVMQix",,,,,[],https://twitter.com/EarnForSpending/status/21303036773142528
AppleAddictions,@appleaddictions,2011-01-01T20:07:38.000Z,"AppleAddictions
@appleaddictions
·
Jan 1, 2011","Apple iPhone Alarm Bug Silences the New Year: On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line of cellphones p... http://bit.ly/idC5EF",,,,,[],https://twitter.com/appleaddictions/status/21296511711191040
Peter Williams,@igear4me,2011-01-01T20:15:01.000Z,"Peter Williams
@igear4me
·
Jan 1, 2011","GA - iPhone Apple iPhone Alarm Bug Silences the New Year: On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line of ... http://bit.ly/fkPr0k",,,,,[],https://twitter.com/igear4me/status/21298366860234752
CNN Business,@CNNBusiness,2011-01-02T17:22:37.000Z,"CNN Business
@CNNBusiness
·
Jan 2, 2011",Apple 2.0: Verizon snaps up iPhone domains http://bit.ly/iiBqZv $AAPL,,,37,2,[],https://twitter.com/CNNBusiness/status/21617369910611968
Atul Arora,@atul,2011-01-02T17:16:03.000Z,"Atul Arora
@atul
·
Jan 2, 2011",iPhone = Mac 2.0 | Monday Note http://bit.ly/dNizE0 $AAPL,,,1,2,[],https://twitter.com/atul/status/21615716855709696
An4rky,@an4rky,2011-01-02T04:20:23.000Z,"An4rky
@an4rky
·
Jan 1, 2011","Despite much lower market share, AAPL still ended up valued higher than MSFT. Market share doesn't matter - profits and product quality do.",,,3,,[],https://twitter.com/an4rky/status/21420513997885440
Philip Elmer-DeWitt,@philiped,2011-01-02T17:22:37.000Z,"Philip Elmer-DeWitt
@philiped
·
Jan 2, 2011",Verizon snaps up iPhone domains: Protecting its brand by buying Internet domain names that link the iPhone... http://bit.ly/gtinTU $AAPL,,,2,2,[],https://twitter.com/philiped/status/21617370229383168
